Total Time Cost(s):129.346198
22 15 18 -1
23 1 22 -1
24 8 9 -1
25 6 17 -1
26 0 7 -1
27 11 13 -1
28 12 16 -1
29 20 24 -1
30 8 21 -1
31 14 23 -1
32 3 27 -1
33 7 30 -1
34 5 25 -1
35 10 28 -1
36 26 35 -1
37 11 19 -1
38 23 29 -1
39 19 38 -1
40 0 1 10
41 10 38 -1
42 0 1 16
43 1 20 -1
44 32 43 -1
45 0 1 1
46 5 15 -1
47 4 33 -1
48 0 37 -1
49 2 3 -1
50 13 14 -1
51 6 29 -1
52 2 51 -1
53 0 50 -1
54 16 34 -1
55 42 48 -1
56 12 21 -1
57 2 44 -1
58 0 1 2
59 15 26 -1
60 0 1 8
61 28 31 -1
62 0 1 13
63 0 20 -1
64 39 49 -1
65 0 1 17
66 1 36 -1
67 47 55 -1
68 0 1 3
69 2 22 -1
70 48 54 -1
71 0 1 0
72 4 7 -1
73 23 54 -1
74 0 1 11
75 8 25 -1
76 36 75 -1
77 6 50 -1
78 0 1 12
79 23 49 -1
80 0 1 7
81 3 62 -1
82 74 76 -1
83 0 1 21
84 8 31 -1
85 32 46 -1
86 0 1 6
87 8 40 -1
88 63 77 -1
89 0 1 18
90 9 17 -1
91 41 56 -1
92 0 1 20
93 5 59 -1
94 78 90 -1
95 0 1 15
96 11 16 -1
97 18 52 -1
98 0 1 5
99 12 15 -1
100 37 47 -1
101 0 1 9
102 16 45 -1
103 46 55 -1
104 0 1 14
105 25 59 -1
106 91 102 -1
107 0 1 19
108 29 34 -1
109 42 53 -1
110 0 1 4
