Total Time Cost(s):49.294602
20 8 18 -1
21 2 15 -1
22 9 19 -1
23 0 21 -1
24 5 17 -1
25 16 20 -1
26 1 4 -1
27 10 22 -1
28 6 7 -1
29 6 14 -1
30 13 17 -1
31 23 24 -1
32 9 12 -1
33 12 25 -1
34 0 1 16
35 11 32 -1
36 22 29 -1
37 20 36 -1
38 10 18 -1
39 3 28 -1
40 24 37 -1
41 0 1 14
42 21 39 -1
43 1 16 -1
44 3 30 -1
45 4 28 -1
46 1 38 -1
47 30 46 -1
48 0 1 11
49 11 26 -1
50 5 32 -1
51 10 35 -1
52 0 1 3
53 12 38 -1
54 0 1 6
55 17 33 -1
56 0 1 9
57 13 36 -1
58 0 1 2
59 15 24 -1
60 18 27 -1
61 0 1 18
62 22 42 -1
63 0 1 12
64 25 27 -1
65 0 1 15
66 2 28 -1
67 43 50 -1
68 0 1 8
69 4 19 -1
70 31 44 -1
71 0 1 7
72 17 70 -1
73 18 50 -1
74 0 1 19
75 9 20 -1
76 23 45 -1
77 0 1 13
78 47 57 -1
79 45 59 -1
80 0 1 1
81 15 43 -1
82 47 49 -1
83 0 1 10
84 29 33 -1
85 35 45 -1
86 0 1 5
87 35 41 -1
88 66 72 -1
89 0 1 4
90 13 52 -1
91 80 88 -1
92 0 1 17
93 3 12 -1
94 14 26 -1
95 72 93 -1
96 0 1 0
