Total Time Cost(s):0.365827
16 6 14 -1
17 4 15 -1
18 5 7 -1
19 8 10 -1
20 1 9 -1
21 9 16 -1
22 2 8 -1
23 1 17 -1
24 0 1 4
25 1 14 -1
26 3 20 -1
27 12 19 -1
28 0 1 12
29 4 27 -1
30 0 1 3
31 11 13 -1
32 21 31 -1
33 0 1 11
34 0 1 15
35 11 14 -1
36 5 20 -1
37 33 35 -1
38 0 19 -1
39 0 1 5
40 8 29 -1
41 2 14 -1
42 0 1 6
43 3 24 -1
44 0 1 8
45 5 16 -1
46 0 1 7
47 10 17 -1
48 0 1 13
49 18 22 -1
50 0 1 0
51 18 38 -1
52 0 1 9
53 19 34 -1
54 0 1 14
55 0 15 -1
56 35 36 -1
57 0 1 2
58 4 20 -1
59 22 37 -1
60 0 1 1
61 7 27 -1
62 42 60 -1
63 0 1 10
