Total Time Cost(s):143.926169
24 10 15 -1
25 6 18 -1
26 0 12 -1
27 1 22 -1
28 7 17 -1
29 21 23 -1
30 4 24 -1
31 9 16 -1
32 3 8 -1
33 5 13 -1
34 13 14 -1
35 25 26 -1
36 0 29 -1
37 20 30 -1
38 3 37 -1
39 9 24 -1
40 2 10 -1
41 14 27 -1
42 0 17 -1
43 18 31 -1
44 0 1 15
45 32 36 -1
46 0 1 10
47 10 22 -1
48 11 16 -1
49 36 48 -1
50 0 1 16
51 25 33 -1
52 6 39 -1
53 1 51 -1
54 4 21 -1
55 2 7 -1
56 11 54 -1
57 19 34 -1
58 35 55 -1
59 0 1 4
60 23 42 -1
61 8 41 -1
62 1 30 -1
63 0 1 18
64 3 53 -1
65 0 1 13
66 11 27 -1
67 0 1 6
68 17 35 -1
69 0 1 9
70 28 52 -1
71 0 1 3
72 42 49 -1
73 0 1 1
74 4 19 -1
75 28 38 -1
76 0 1 11
77 3 14 -1
78 16 75 -1
79 0 1 23
80 9 20 -1
81 40 80 -1
82 16 27 -1
83 0 1 8
84 28 61 -1
85 0 1 19
86 9 43 -1
87 57 60 -1
88 0 1 17
89 13 32 -1
90 55 56 -1
91 0 1 22
92 14 24 -1
93 26 56 -1
94 0 1 21
95 15 33 -1
96 36 37 -1
97 0 1 12
98 21 52 -1
99 58 81 -1
100 0 1 7
101 22 26 -1
102 34 45 -1
103 0 1 20
104 28 32 -1
105 40 43 -1
106 0 1 2
107 35 38 -1
108 39 60 -1
109 0 1 0
110 0 13 -1
111 63 85 -1
112 99 110 -1
113 0 1 14
114 5 18 -1
115 23 40 -1
116 61 114 -1
117 0 1 5
