Total Time Cost(s):3.511829
18 4 6 -1
19 7 10 -1
20 18 19 -1
21 2 16 -1
22 5 17 -1
23 11 12 -1
24 13 14 -1
25 1 9 -1
26 8 21 -1
27 13 20 -1
28 4 22 -1
29 12 28 -1
30 0 23 -1
31 15 18 -1
32 16 27 -1
33 24 31 -1
34 9 26 -1
35 0 1 6
36 0 1 12
37 20 23 -1
38 0 1 13
39 3 37 -1
40 0 1 2
41 2 29 -1
42 21 39 -1
43 0 1 10
44 30 33 -1
45 0 1 0
46 0 25 -1
47 5 29 -1
48 21 24 -1
49 1 44 -1
50 0 1 17
51 3 25 -1
52 0 1 16
53 5 9 -1
54 0 1 9
55 10 47 -1
56 0 1 15
57 11 22 -1
58 0 1 3
59 13 26 -1
60 0 1 7
61 15 26 -1
62 0 1 5
63 22 46 -1
64 0 1 1
65 32 33 -1
66 0 1 11
67 0 1 -1
68 27 28 -1
69 0 1 14
70 6 34 -1
71 43 55 -1
72 0 1 4
73 0 3 -1
74 10 11 -1
75 68 73 -1
76 0 1 8
