Total Time Cost(s):0.854505
16 0 1 -1
17 8 10 -1
18 14 16 -1
19 2 18 -1
20 5 13 -1
21 3 12 -1
22 4 19 -1
23 17 21 -1
24 0 1 1
25 6 15 -1
26 11 20 -1
27 5 23 -1
28 14 27 -1
29 6 9 -1
30 0 1 13
31 8 22 -1
32 10 26 -1
33 12 22 -1
34 7 28 -1
35 0 1 14
36 2 27 -1
37 0 1 4
38 33 34 -1
39 1 25 -1
40 0 1 5
41 13 28 -1
42 0 1 2
43 10 37 -1
44 38 39 -1
45 0 1 11
46 2 20 -1
47 0 1 6
48 5 15 -1
49 0 1 9
50 6 19 -1
51 0 1 3
52 3 15 -1
53 9 21 -1
54 0 1 7
55 11 50 -1
56 0 1 15
57 6 46 -1
58 0 1 8
59 12 44 -1
60 0 1 0
61 40 41 -1
62 0 1 10
63 2 9 -1
64 17 55 -1
65 0 1 12
