Total Time Cost(s):192.003444
20 15 18 -1
21 0 17 -1
22 5 19 -1
23 2 20 -1
24 8 16 -1
25 6 9 -1
26 12 21 -1
27 1 4 -1
28 24 25 -1
29 10 22 -1
30 14 18 -1
31 7 23 -1
32 28 31 -1
33 11 26 -1
34 13 26 -1
35 12 29 -1
36 30 34 -1
37 1 8 -1
38 27 33 -1
39 3 19 -1
40 23 33 -1
41 22 38 -1
42 0 4 -1
43 0 1 13
44 3 23 -1
45 20 35 -1
46 32 37 -1
47 15 36 -1
48 37 47 -1
49 13 16 -1
50 7 38 -1
51 9 40 -1
52 0 1 18
53 12 50 -1
54 5 24 -1
55 0 1 16
56 28 45 -1
57 18 39 -1
58 41 57 -1
59 0 26 -1
60 0 1 15
61 6 29 -1
62 0 54 -1
63 0 1 9
64 10 45 -1
65 0 1 8
66 11 46 -1
67 0 1 12
68 14 52 -1
69 0 1 1
70 19 28 -1
71 0 1 2
72 36 40 -1
73 0 1 0
74 39 48 -1
75 0 1 4
76 41 45 -1
77 0 1 10
78 48 54 -1
79 0 1 11
80 1 9 -1
81 34 44 -1
82 0 1 19
83 4 22 -1
84 59 81 -1
85 0 1 7
86 5 12 -1
87 13 71 -1
88 0 1 14
89 6 31 -1
90 35 39 -1
91 0 1 6
92 8 30 -1
93 33 61 -1
94 0 1 3
95 9 43 -1
96 64 67 -1
97 0 1 17
98 9 48 -1
99 49 50 -1
100 0 1 5
