Total Time Cost(s):17.912207
20 3 14 -1
21 1 5 -1
22 0 4 -1
23 9 17 -1
24 7 13 -1
25 12 24 -1
26 2 16 -1
27 10 11 -1
28 6 7 -1
29 3 19 -1
30 8 18 -1
31 15 25 -1
32 20 23 -1
33 0 1 17
34 5 27 -1
35 14 22 -1
36 4 9 -1
37 4 29 -1
38 5 28 -1
39 30 37 -1
40 6 32 -1
41 0 1 7
42 8 21 -1
43 11 21 -1
44 15 19 -1
45 16 35 -1
46 0 1 9
47 2 8 -1
48 16 43 -1
49 44 45 -1
50 0 1 14
51 17 48 -1
52 27 51 -1
53 12 40 -1
54 0 1 4
55 13 34 -1
56 0 1 0
57 18 31 -1
58 0 1 15
59 23 45 -1
60 0 1 13
61 15 20 -1
62 31 35 -1
63 0 1 6
64 32 34 -1
65 0 1 2
66 0 13 -1
67 20 42 -1
68 0 1 5
69 1 24 -1
70 26 37 -1
71 0 1 11
72 3 25 -1
73 37 42 -1
74 0 1 12
75 4 6 -1
76 52 70 -1
77 0 1 10
78 5 13 -1
79 36 64 -1
80 0 1 8
81 7 23 -1
82 30 52 -1
83 0 1 19
84 10 22 -1
85 38 39 -1
86 0 1 3
87 5 33 -1
88 49 85 -1
89 0 1 1
90 10 26 -1
91 28 61 -1
92 0 1 16
93 36 39 -1
94 60 61 -1
95 0 1 18
