Total Time Cost(s):8.086994
22 11 15 -1
23 5 20 -1
24 7 9 -1
25 8 21 -1
26 10 20 -1
27 3 22 -1
28 0 1 7
29 23 25 -1
30 2 19 -1
31 6 9 -1
32 0 1 15
33 13 22 -1
34 16 18 -1
35 1 29 -1
36 0 1 10
37 0 26 -1
38 0 1 18
39 10 27 -1
40 7 39 -1
41 0 1 14
42 0 14 -1
43 23 24 -1
44 0 1 1
45 31 34 -1
46 4 20 -1
47 17 37 -1
48 0 1 6
49 6 46 -1
50 26 30 -1
51 1 4 -1
52 0 1 11
53 5 24 -1
54 0 1 19
55 12 45 -1
56 0 1 0
57 13 17 -1
58 0 1 20
59 15 30 -1
60 0 1 5
61 24 34 -1
62 0 1 21
63 33 37 -1
64 0 1 2
65 42 47 -1
66 0 1 9
67 11 19 -1
68 20 40 -1
69 0 1 12
70 1 13 -1
71 25 42 -1
72 0 1 16
73 11 12 -1
74 16 26 -1
75 0 1 8
76 18 21 -1
77 47 50 -1
78 0 1 17
79 24 42 -1
80 67 77 -1
81 0 1 13
82 0 15 -1
83 16 31 -1
84 43 82 -1
85 0 1 4
86 0 27 -1
87 41 44 -1
88 47 86 -1
89 0 1 3
