Total Time Cost(s):1.102264
18 0 15 -1
19 8 16 -1
20 15 19 -1
21 12 18 -1
22 1 6 -1
23 4 21 -1
24 17 21 -1
25 5 10 -1
26 10 14 -1
27 0 1 10
28 7 23 -1
29 0 1 16
30 5 20 -1
31 0 1 7
32 24 25 -1
33 0 1 3
34 16 32 -1
35 0 1 5
36 22 24 -1
37 0 1 0
38 1 11 -1
39 0 13 -1
40 0 6 -1
41 0 1 6
42 4 20 -1
43 0 1 9
44 3 9 -1
45 4 34 -1
46 0 1 17
47 5 12 -1
48 0 1 4
49 10 42 -1
50 0 1 2
51 1 8 -1
52 26 44 -1
53 0 1 13
54 2 5 -1
55 19 22 -1
56 0 1 15
57 16 39 -1
58 2 26 -1
59 0 1 8
60 14 55 -1
61 0 1 14
62 9 16 -1
63 18 38 -1
64 0 1 11
65 11 13 -1
66 17 30 -1
67 0 1 1
68 3 4 -1
69 13 28 -1
70 47 68 -1
71 0 1 12
